,Feature name,Coefficients,p_values
0,Intercept,-1.3504116859430686,
1,grade:A,1.1020798333725368,2.029936469364032e-34
2,grade:B,0.8664054989354858,6.58446733019939e-47
3,grade:C,0.6795506137006891,6.751645505542021e-34
4,grade:D,0.4978773450847105,7.650238394300134e-21
5,grade:E,0.32113129981340943,9.998496736881632e-12
6,grade:F,0.13016388202383178,0.007948344388021278
7,home_ownership:OWN,0.09554870520765965,2.098585973695933e-06
8,home_ownership:MORTGAGE,0.1066735442084571,3.286035393640902e-17
9,addr_state:NM_VA,0.03841541036917913,0.2302394506107236
10,addr_state:NY,0.05976557254263827,0.013568144271143329
11,addr_state:OK_TN_MO_LA_MD_NC,0.0605827341759505,0.008843378497772517
12,addr_state:CA,0.0656244306466946,0.0019513292558162494
13,addr_state:UT_KY_AZ_NJ,0.08039650779849772,0.001244294067053196
14,addr_state:AR_MI_PA_OH_MN,0.13794382926618906,8.917885720151125e-10
15,addr_state:RI_MA_DE_SD_IN,0.10318929763090981,0.0005412436098375257
16,addr_state:GA_WA_OR,0.1873273204945573,2.113138224781903e-12
17,addr_state:WI_MT,0.24117605587540655,3.9455783557389594e-07
18,addr_state:TX,0.22431189504027782,5.773074422109612e-18
19,addr_state:IL_CT,0.2652501602683744,1.0489476520212409e-19
20,addr_state:KS_SC_CO_VT_AK_MS,0.321928287315204,1.5880381337964097e-25
21,addr_state:WV_NH_WY_DC_ME_ID,0.5247405143427062,6.108168310571186e-23
22,verification_status:Not Verified,0.08703617763799448,2.318012770529181e-09
23,verification_status:Source Verified,-0.013872841528352914,0.3027966026558919
24,purpose:credit_card,0.2991107535562325,3.1823078188921164e-26
25,purpose:debt_consolidation,0.19659306192684137,3.647136902114573e-14
26,purpose:oth__med__vacation,0.21761980168514106,2.54386673115659e-12
27,purpose:major_purch__car__home_impr,0.26581365878863417,1.5774767282696674e-17
28,initial_list_status:w,0.04841969794288206,0.0002320827748414407
29,term:36,0.0781771960353302,2.138122955348946e-08
30,emp_length:1,0.09930203213101262,0.0001279618667207934
31,emp_length:2-4,0.12385033208144748,5.146065642884558e-11
32,emp_length:5-6,0.08826797239626141,3.674246143632447e-05
33,emp_length:7-9,0.058313485622981207,0.005034492701837097
34,emp_length:10,0.12295184403204075,2.4739896713848388e-11
35,mths_since_issue_d:<40,1.166952752371725,1.6505719176386282e-112
36,mths_since_issue_d:40-42,1.0200217083521332,0.0
37,mths_since_issue_d:42-46,0.832073315224749,5.090035069164738e-286
38,mths_since_issue_d:46-52,0.6389665061671891,1.237331131533949e-245
39,mths_since_issue_d:52-56,0.49865571834647016,2.786949913285425e-127
40,mths_since_issue_d:56-70,0.2582310292413791,2.6094198766604537e-48
41,int_rate:<9.548,0.9025369470123306,5.6850406649505945e-33
42,int_rate:9.548-12.025,0.5714912475309027,3.387082651399363e-39
43,int_rate:12.025-15.74,0.31107843164520654,6.087130725796535e-18
44,int_rate:15.74-20.281,0.10825739679122591,0.00016425338889213345
45,mths_since_earliest_cr_line:141-164,0.04224434404878433,0.14514643108838496
46,mths_since_earliest_cr_line:165-247,0.03852976553721293,0.109039213080392
47,mths_since_earliest_cr_line:248-270,0.0493365866565951,0.08701869680537438
48,mths_since_earliest_cr_line:271-352,0.11480335378892009,1.213412860367371e-05
49,mths_since_earliest_cr_line:>352,0.11814539015534088,2.2174333650405693e-05
50,inq_last_6mths:0,0.6779700917350541,3.1216243063286587e-15
51,inq_last_6mths:1-2,0.5314305540528843,6.065052243929924e-10
52,inq_last_6mths:3-6,0.3224580010594349,0.00019657402582138751
53,acc_now_delinq:>=1,0.21520298830917822,0.041481089725906375
54,annual_inc:20K-30K,-0.0740074145459015,0.07830130311088244
55,annual_inc:30K-40K,-0.011619289386108615,0.7735814674517418
56,annual_inc:40K-50K,0.08343039011791849,0.0385735880495651
57,annual_inc:50K-60K,0.14980044043236757,0.0002453064058300201
58,annual_inc:60K-70K,0.22530013187248155,6.933699059043228e-08
59,annual_inc:70K-80K,0.29975442132865804,2.0052481959229988e-12
60,annual_inc:80K-90K,0.37505217198976204,2.885650165392105e-17
61,annual_inc:90K-100K,0.3959551226066432,7.037663091045631e-18
62,annual_inc:100K-120K,0.4741845583830416,2.35793670863673e-25
63,annual_inc:120K-140K,0.5660044388739784,9.70920191824111e-28
64,annual_inc:>140K,0.501620673600056,4.3313003786714123e-26
65,dti:<=1.4,0.25737882352383645,0.0019592325072398642
66,dti:1.4-3.5,0.3702680286850043,1.0936860534484735e-07
67,dti:3.5-7.7,0.3883932250149156,9.697165704824153e-11
68,dti:7.7-10.5,0.3234391000592942,5.8803536969804205e-08
69,dti:10.5-16.1,0.24372544831789625,2.3475378222924268e-05
70,dti:16.1-20.3,0.1426879764675502,0.013446158855210702
71,dti:20.3-21.7,0.13001241149154039,0.03149555598076171
72,dti:21.7-22.4,0.09578469264993633,0.13776603638359802
73,dti:22.4-35,0.05309650199438307,0.3520809276527308
74,mths_since_last_delinq:Missing,0.13986539323520883,0.006044291276293166
75,mths_since_last_delinq:4-30,0.16643202041313607,0.0012491602378163931
76,mths_since_last_delinq:31-56,0.2124674856305879,4.770770874337712e-05
77,mths_since_last_delinq:>=57,0.16486682486442344,0.0020770616271163418
78,mths_since_last_record:Missing,0.19615979845665377,0.006474695204882925
79,mths_since_last_record:3-20,0.30997616148054213,0.007879044199988739
80,mths_since_last_record:21-31,0.23072748136528454,0.029662217491513907
81,mths_since_last_record:32-80,0.38028962643187425,6.675003295174147e-07
82,mths_since_last_record:81-86,0.02238984206859052,0.7934884740659791
83,mths_since_last_record:>=86,0.1011029092019192,0.17102869978667046
